pair,training_method,task,from_prediction,to_prediction,seed_count,count_mean,count_std,rate_mean,rate_std,n_mean,n_std
cot_sft,cot,rev_util_actionability,1,1,3,84.0,3.0,0.084,0.0029999999999999957,1000.0,0.0
cot_sft,cot,rev_util_actionability,1,2,3,45.333333333333336,7.094598884597588,0.04533333333333334,0.007094598884597587,1000.0,0.0
cot_sft,cot,rev_util_actionability,1,3,3,1.0,1.0,0.001,0.001,1000.0,0.0
cot_sft,cot,rev_util_actionability,1,4,3,0.6666666666666666,1.1547005383792515,0.0006666666666666666,0.0011547005383792516,1000.0,0.0
cot_sft,cot,rev_util_actionability,1,5,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,1,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,2,1,3,7.666666666666667,2.516611478423583,0.007666666666666666,0.0025166114784235835,1000.0,0.0
cot_sft,cot,rev_util_actionability,2,2,3,258.0,8.18535277187245,0.258,0.008185352771872456,1000.0,0.0
cot_sft,cot,rev_util_actionability,2,3,3,45.0,14.52583904633395,0.045000000000000005,0.01452583904633395,1000.0,0.0
cot_sft,cot,rev_util_actionability,2,4,3,24.0,4.58257569495584,0.024000000000000004,0.0045825756949558405,1000.0,0.0
cot_sft,cot,rev_util_actionability,2,5,3,3.6666666666666665,1.1547005383792515,0.0036666666666666666,0.0011547005383792516,1000.0,0.0
cot_sft,cot,rev_util_actionability,2,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,3,1,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,3,2,3,28.666666666666668,14.502873278538061,0.028666666666666663,0.01450287327853806,1000.0,0.0
cot_sft,cot,rev_util_actionability,3,3,3,171.0,8.888194417315589,0.171,0.008888194417315582,1000.0,0.0
cot_sft,cot,rev_util_actionability,3,4,3,12.333333333333334,5.033222956847166,0.012333333333333333,0.005033222956847167,1000.0,0.0
cot_sft,cot,rev_util_actionability,3,5,3,31.666666666666668,8.504900548115382,0.03166666666666667,0.008504900548115384,1000.0,0.0
cot_sft,cot,rev_util_actionability,3,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,4,1,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,4,2,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,4,3,3,1.0,0.0,0.001,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,4,4,3,3.3333333333333335,4.932882862316247,0.0033333333333333327,0.004932882862316247,1000.0,0.0
cot_sft,cot,rev_util_actionability,4,5,3,2.3333333333333335,0.5773502691896257,0.0023333333333333335,0.0005773502691896258,1000.0,0.0
cot_sft,cot,rev_util_actionability,4,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,5,1,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,5,2,3,3.6666666666666665,1.1547005383792515,0.0036666666666666666,0.0011547005383792516,1000.0,0.0
cot_sft,cot,rev_util_actionability,5,3,3,79.66666666666667,22.81081614790083,0.07966666666666668,0.022810816147900835,1000.0,0.0
cot_sft,cot,rev_util_actionability,5,4,3,4.0,2.6457513110645907,0.004,0.0026457513110645908,1000.0,0.0
cot_sft,cot,rev_util_actionability,5,5,3,183.66666666666666,4.932882862316247,0.18366666666666664,0.004932882862316252,1000.0,0.0
cot_sft,cot,rev_util_actionability,5,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid,1,3,0.6666666666666666,1.1547005383792515,0.0006666666666666666,0.0011547005383792516,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid,2,3,0.3333333333333333,0.5773502691896257,0.0003333333333333333,0.0005773502691896258,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid,3,3,3.0,5.196152422706632,0.0029999999999999996,0.005196152422706632,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid,4,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid,5,3,5.333333333333333,9.237604307034012,0.005333333333333333,0.009237604307034013,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,1,1,3,6.333333333333333,1.5275252316519468,0.006333333333333333,0.0015275252316519466,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,1,2,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,1,3,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,1,4,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,1,5,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,1,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,2,1,3,33.0,1.0,0.033,0.0010000000000000009,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,2,2,3,16.0,2.6457513110645907,0.016,0.0026457513110645903,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,2,3,3,120.33333333333333,53.48208422764892,0.12033333333333333,0.05348208422764891,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,2,4,3,2.0,1.7320508075688772,0.002,0.0017320508075688774,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,2,5,3,1.3333333333333333,2.309401076758503,0.0013333333333333333,0.002309401076758503,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,2,invalid,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,3,1,3,0.0,0.0,0.0,0.0,1000.0,0.0
