pair,training_method,task,interface,condition,category,category_label,seed_count,count_mean,count_std,rate_mean,rate_std,n_mean,n_std
cot_sft,cot,rev_util_actionability,cot,CC,adjacent_error,相邻错误,3,364.3333333333333,7.571877794400365,0.36433333333333334,0.007571877794400371,1000.0,0.0
cot_sft,cot,rev_util_actionability,cot,CC,correct,正确,3,489.3333333333333,12.897028081435403,0.48933333333333334,0.012897028081435414,1000.0,0.0
cot_sft,cot,rev_util_actionability,cot,CC,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,cot,CC,severe_error,严重错误,3,146.33333333333334,5.507570547286102,0.14633333333333332,0.005507570547286107,1000.0,0.0
cot_sft,cot,rev_util_actionability,label_only,CL,adjacent_error,相邻错误,3,345.3333333333333,8.504900548115382,0.3453333333333333,0.008504900548115363,1000.0,0.0
cot_sft,cot,rev_util_actionability,label_only,CL,correct,正确,3,520.6666666666666,6.110100926607787,0.5206666666666667,0.0061101009266077925,1000.0,0.0
cot_sft,cot,rev_util_actionability,label_only,CL,invalid_format,格式无效,3,9.333333333333334,16.165807537309522,0.009333333333333334,0.01616580753730952,1000.0,0.0
cot_sft,cot,rev_util_actionability,label_only,CL,severe_error,严重错误,3,124.66666666666667,4.041451884327381,0.12466666666666666,0.004041451884327384,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,cot,CC,adjacent_error,相邻错误,3,98.33333333333333,2.516611478423583,0.09833333333333334,0.0025166114784235857,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,cot,CC,correct,正确,3,682.6666666666666,10.016652800877813,0.6826666666666666,0.010016652800877764,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,cot,CC,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,cot,CC,severe_error,严重错误,3,219.0,12.529964086141668,0.219,0.012529964086141678,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,label_only,CL,adjacent_error,相邻错误,3,264.3333333333333,32.50128202599604,0.26433333333333336,0.03250128202599603,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,label_only,CL,correct,正确,3,571.6666666666666,20.231987873991358,0.5716666666666667,0.020231987873991313,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,label_only,CL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,label_only,CL,severe_error,严重错误,3,164.0,17.349351572897472,0.164,0.01734935157289747,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,cot,CC,adjacent_error,相邻错误,3,417.3333333333333,7.505553499465135,0.41733333333333333,0.007505553499465142,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,cot,CC,correct,正确,3,560.0,7.0,0.56,0.006999999999999951,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,cot,CC,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,cot,CC,severe_error,严重错误,3,22.666666666666668,3.7859388972001824,0.02266666666666667,0.0037859388972001817,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,label_only,CL,adjacent_error,相邻错误,3,420.6666666666667,10.598742063723098,0.4206666666666667,0.010598742063723106,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,label_only,CL,correct,正确,3,560.6666666666666,12.858201014657274,0.5606666666666666,0.012858201014657221,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,label_only,CL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,label_only,CL,severe_error,严重错误,3,18.666666666666668,3.511884584284246,0.018666666666666665,0.003511884584284246,1000.0,0.0
cot_sft,cot,rev_util_verifiability,cot,CC,adjacent_error,相邻错误,3,277.3333333333333,3.2145502536643185,0.35194585448392557,0.004079378494497852,788.0,0.0
cot_sft,cot,rev_util_verifiability,cot,CC,correct,正确,3,403.0,4.358898943540674,0.5114213197969543,0.0055315976440871596,788.0,0.0
cot_sft,cot,rev_util_verifiability,cot,CC,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,788.0,0.0
cot_sft,cot,rev_util_verifiability,cot,CC,severe_error,严重错误,3,107.66666666666667,4.041451884327381,0.13663282571912014,0.0051287460461007395,788.0,0.0
cot_sft,cot,rev_util_verifiability,label_only,CL,adjacent_error,相邻错误,3,395.6666666666667,21.96208854670551,0.5021150592216582,0.02787067074455011,788.0,0.0
cot_sft,cot,rev_util_verifiability,label_only,CL,correct,正确,3,355.3333333333333,19.5021366350801,0.4509306260575296,0.02474890435923869,788.0,0.0
cot_sft,cot,rev_util_verifiability,label_only,CL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,788.0,0.0
cot_sft,cot,rev_util_verifiability,label_only,CL,severe_error,严重错误,3,37.0,3.0,0.046954314720812185,0.0038071065989847726,788.0,0.0
label_only_sft,label_only,rev_util_actionability,cot,LC,adjacent_error,相邻错误,3,312.6666666666667,10.785793124908958,0.31266666666666665,0.010785793124908967,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,cot,LC,correct,正确,3,519.0,20.8806130178211,0.519,0.02088061301782112,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,cot,LC,invalid_format,格式无效,3,1.6666666666666667,1.5275252316519468,0.0016666666666666668,0.0015275252316519466,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,cot,LC,severe_error,严重错误,3,166.66666666666666,14.047538337136984,0.16666666666666666,0.014047538337136985,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,label_only,LL,adjacent_error,相邻错误,3,353.0,8.54400374531753,0.353,0.008544003745317538,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,label_only,LL,correct,正确,3,540.6666666666666,2.0816659994661326,0.5406666666666667,0.0020816659994661348,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,label_only,LL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
label_only_sft,label_only,rev_util_actionability,label_only,LL,severe_error,严重错误,3,106.33333333333333,6.506407098647712,0.10633333333333334,0.00650640709864771,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,cot,LC,adjacent_error,相邻错误,3,151.33333333333334,13.650396819628847,0.15133333333333332,0.013650396819628858,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,cot,LC,correct,正确,3,639.6666666666666,10.066445913694333,0.6396666666666667,0.010066445913694343,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,cot,LC,invalid_format,格式无效,3,0.3333333333333333,0.5773502691896257,0.0003333333333333333,0.0005773502691896258,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,cot,LC,severe_error,严重错误,3,208.66666666666666,6.429100507328637,0.20866666666666667,0.006429100507328643,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,label_only,LL,adjacent_error,相邻错误,3,121.66666666666667,5.131601439446884,0.12166666666666666,0.005131601439446881,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,label_only,LL,correct,正确,3,709.6666666666666,14.153915830374764,0.7096666666666667,0.014153915830374775,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,label_only,LL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
label_only_sft,label_only,rev_util_grounding_specificity,label_only,LL,severe_error,严重错误,3,168.66666666666666,18.339392937971894,0.16866666666666666,0.018339392937971894,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,cot,LC,adjacent_error,相邻错误,3,378.0,9.16515138991168,0.37799999999999995,0.009165151389911688,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,cot,LC,correct,正确,3,600.3333333333334,4.725815626252609,0.6003333333333333,0.004725815626252613,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,cot,LC,invalid_format,格式无效,3,0.6666666666666666,0.5773502691896257,0.0006666666666666666,0.0005773502691896258,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,cot,LC,severe_error,严重错误,3,21.0,5.0,0.021,0.004999999999999999,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,label_only,LL,adjacent_error,相邻错误,3,381.3333333333333,13.503086067019396,0.38133333333333336,0.013503086067019408,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,label_only,LL,correct,正确,3,604.3333333333334,11.590225767142472,0.6043333333333333,0.011590225767142484,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,label_only,LL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,1000.0,0.0
label_only_sft,label_only,rev_util_helpfulness,label_only,LL,severe_error,严重错误,3,14.333333333333334,2.309401076758503,0.014333333333333332,0.002309401076758504,1000.0,0.0
label_only_sft,label_only,rev_util_verifiability,cot,LC,adjacent_error,相邻错误,3,246.33333333333334,18.44812546936228,0.3126057529610829,0.023411326737769377,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,cot,LC,correct,正确,3,441.3333333333333,5.131601439446884,0.560067681895093,0.0065121845678259875,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,cot,LC,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,cot,LC,severe_error,严重错误,3,100.33333333333333,14.502873278538061,0.127326565143824,0.018404661520987388,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,label_only,LL,adjacent_error,相邻错误,3,251.66666666666666,3.511884584284246,0.3193739424703892,0.004456706325233815,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,label_only,LL,correct,正确,3,477.0,6.082762530298219,0.6053299492385786,0.00771924178971858,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,label_only,LL,invalid_format,格式无效,3,0.0,0.0,0.0,0.0,788.0,0.0
label_only_sft,label_only,rev_util_verifiability,label_only,LL,severe_error,严重错误,3,59.333333333333336,4.041451884327381,0.07529610829103216,0.005128746046100738,788.0,0.0
