pair,training_method,task,from_category,to_category,seed_count,count_mean,count_std,rate_mean,rate_std,n_mean,n_std
cot_sft,cot,rev_util_actionability,adjacent_error,adjacent_error,3,277.0,9.643650760992955,0.27699999999999997,0.009643650760992944,1000.0,0.0
cot_sft,cot,rev_util_actionability,adjacent_error,correct,3,44.666666666666664,3.511884584284246,0.04466666666666667,0.003511884584284246,1000.0,0.0
cot_sft,cot,rev_util_actionability,adjacent_error,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,adjacent_error,severe_error,3,23.666666666666668,2.0816659994661326,0.023666666666666666,0.0020816659994661326,1000.0,0.0
cot_sft,cot,rev_util_actionability,correct,adjacent_error,3,68.33333333333333,7.637626158259733,0.06833333333333334,0.007637626158259734,1000.0,0.0
cot_sft,cot,rev_util_actionability,correct,correct,3,395.6666666666667,6.6583281184793925,0.39566666666666667,0.006658328118479399,1000.0,0.0
cot_sft,cot,rev_util_actionability,correct,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,correct,severe_error,3,56.666666666666664,5.8594652770823155,0.056666666666666664,0.005859465277082312,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid_format,adjacent_error,3,2.0,3.4641016151377544,0.002,0.0034641016151377548,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid_format,correct,3,5.666666666666667,9.814954576223638,0.005666666666666667,0.009814954576223639,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid_format,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,invalid_format,severe_error,3,1.6666666666666667,2.8867513459481287,0.0016666666666666668,0.002886751345948129,1000.0,0.0
cot_sft,cot,rev_util_actionability,severe_error,adjacent_error,3,17.0,2.0,0.017,0.002,1000.0,0.0
cot_sft,cot,rev_util_actionability,severe_error,correct,3,43.333333333333336,6.027713773341708,0.043333333333333335,0.00602771377334171,1000.0,0.0
cot_sft,cot,rev_util_actionability,severe_error,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_actionability,severe_error,severe_error,3,64.33333333333333,4.041451884327381,0.06433333333333334,0.004041451884327384,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,adjacent_error,adjacent_error,3,61.333333333333336,1.5275252316519468,0.06133333333333333,0.0015275252316519481,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,adjacent_error,correct,3,140.33333333333334,22.744962812309307,0.14033333333333334,0.022744962812309304,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,adjacent_error,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,adjacent_error,severe_error,3,62.666666666666664,13.316656236958785,0.06266666666666666,0.013316656236958786,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,correct,adjacent_error,3,29.333333333333332,0.5773502691896257,0.029333333333333333,0.0005773502691896243,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,correct,correct,3,499.6666666666667,18.556220879622373,0.4996666666666667,0.01855622087962239,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,correct,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,correct,severe_error,3,42.666666666666664,7.505553499465135,0.042666666666666665,0.007505553499465133,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,invalid_format,adjacent_error,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,invalid_format,correct,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,invalid_format,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,invalid_format,severe_error,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,severe_error,adjacent_error,3,7.666666666666667,3.511884584284246,0.007666666666666666,0.003511884584284246,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,severe_error,correct,3,42.666666666666664,4.725815626252609,0.042666666666666665,0.004725815626252608,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,severe_error,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_grounding_specificity,severe_error,severe_error,3,113.66666666666667,17.616280348965084,0.11366666666666668,0.017616280348965084,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,adjacent_error,adjacent_error,3,254.33333333333334,1.5275252316519468,0.25433333333333336,0.0015275252316519481,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,adjacent_error,correct,3,152.66666666666666,11.015141094572204,0.15266666666666664,0.011015141094572214,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,adjacent_error,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,adjacent_error,severe_error,3,13.666666666666666,2.0816659994661326,0.013666666666666667,0.002081665999466133,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,correct,adjacent_error,3,153.33333333333334,8.736894948054104,0.15333333333333332,0.008736894948054113,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,correct,correct,3,406.0,9.539392014169456,0.40599999999999997,0.009539392014169434,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,correct,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,correct,severe_error,3,1.3333333333333333,1.1547005383792515,0.0013333333333333333,0.0011547005383792516,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,invalid_format,adjacent_error,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,invalid_format,correct,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,invalid_format,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,invalid_format,severe_error,3,0.0,0.0,0.0,0.0,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,severe_error,adjacent_error,3,9.666666666666666,1.1547005383792515,0.009666666666666665,0.0011547005383792516,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,severe_error,correct,3,1.3333333333333333,1.5275252316519468,0.0013333333333333333,0.0015275252316519466,1000.0,0.0
cot_sft,cot,rev_util_helpfulness,severe_error,invalid_format,3,0.0,0.0,0.0,0.0,1000.0,0.0
