task,seed,primary_metric_name,cc_rationale_nll,lc_rationale_nll,cc_minus_lc_rationale_nll,cc_completion_nll,lc_completion_nll,cc_minus_lc_completion_nll,cc_rationale_loss_share,lc_rationale_loss_share,cc_minus_lc_rationale_loss_share,cc_primary_metric,lc_primary_metric,cc_minus_lc_primary_metric,cc_accuracy,lc_accuracy,cc_minus_lc_accuracy,cc_format_valid_rate,lc_format_valid_rate,cc_minus_lc_format_valid_rate
rev_util_actionability,42,qwk,0.7896092529114789,1.6611755833591653,-0.8715663304476864,0.6946512371904856,1.494031400417034,-0.7993801632265485,0.9999933072713542,0.9781545778642222,0.02183872940713194,0.8575337014375963,0.8628976353693292,-0.005363933931732845,0.7932960893854749,0.7374301675977654,0.05586592178770955,1.0,0.994413407821229,0.005586592178770999
rev_util_actionability,43,qwk,0.7901244899594982,1.4863702154045741,-0.6962457254450759,0.6951042647684933,1.3355196562523786,-0.6404153914838853,0.9999936630703866,0.9791030146836853,0.020890648386701294,0.8166426542968263,0.8198686751641561,-0.003226020867329815,0.7541899441340782,0.6759776536312849,0.07821229050279332,1.0,0.994413407821229,0.005586592178770999
rev_util_actionability,44,qwk,0.7885520677407203,1.6198537465097795,-0.8313016787690592,0.6937219817261757,1.4632515878854375,-0.7695296061592618,0.9999921639621496,0.9738867981201994,0.026105365841950223,0.8132724678077562,0.8317159838743089,-0.0184435160665527,0.776536312849162,0.7094972067039106,0.06703910614525144,1.0,1.0,0.0
rev_util_grounding_specificity,42,qwk,0.6761386613251239,1.6540699129756322,-0.9779312516505083,0.5908799259940017,1.472763875198455,-0.8818839492044533,0.9999955602793559,0.9814818602391456,0.018513700040210246,0.890893543346987,0.8287534233929286,0.06214011995405844,0.8754716981132076,0.7584905660377359,0.11698113207547167,1.0,1.0,0.0
rev_util_grounding_specificity,43,qwk,0.6756067095548036,1.6642466065281911,-0.9886398969733875,0.5904147841662076,1.4784086035910657,-0.8879938194248581,0.9999960130555714,0.9837499814120839,0.01624603164348748,0.8922951866689891,0.8374642032944001,0.054830983374589026,0.8905660377358491,0.8037735849056604,0.08679245283018866,1.0,1.0,0.0
rev_util_grounding_specificity,44,qwk,0.6765418837448897,1.7086454417963233,-1.0321035580514337,0.5912324896659733,1.5261930912243817,-0.9349606015584084,0.9999952453488508,0.9783719825955745,0.021623262753276307,0.8900368139935735,0.8398704894524662,0.050166324541107254,0.8867924528301887,0.7886792452830189,0.09811320754716979,1.0,1.0,0.0
rev_util_helpfulness,42,qwk,0.8854863873330571,1.683883296038785,-0.798396908705728,0.7888595589955534,1.5211078865521188,-0.7322483275565654,0.9999955975337363,0.9862065034410641,0.01378909409267226,0.7364438839848676,0.8319874507031362,-0.09554356671826858,0.6052631578947368,0.7017543859649122,-0.0964912280701754,1.0,0.9956140350877193,0.004385964912280715
rev_util_helpfulness,43,qwk,0.8857622383255759,1.7315564811888178,-0.8457942428632419,0.78910381019645,1.5676538704249614,-0.7785500602285114,0.9999974960534831,0.9840164860209936,0.01598101003248953,0.775030621966157,0.8341333453241454,-0.059102723357988385,0.6710526315789473,0.7236842105263158,-0.052631578947368474,1.0,0.9956140350877193,0.004385964912280715
rev_util_helpfulness,44,qwk,0.8855917995833698,1.9280030413321774,-1.0424112417488076,0.7889525020877459,1.7496478186218833,-0.9606953165341374,0.9999968222780643,0.9816868338096785,0.01830998846838583,0.7627416520210897,0.823747680890538,-0.06100602886944828,0.6447368421052632,0.706140350877193,-0.06140350877192979,1.0,1.0,0.0
rev_util_verifiability,42,qwk,0.8407812091039071,2.0265107546708494,-1.1857295455669423,0.7390813167117072,1.826066341011118,-1.0869850242994108,0.999992503818078,0.9755248409472977,0.024467662870780282,0.8632848747293536,0.814663951120163,0.04862092360919057,0.7087912087912088,0.7032967032967034,0.005494505494505475,1.0,1.0,0.0
rev_util_verifiability,43,qwk,0.8392660408602293,1.779616167378456,-0.9403501265182268,0.7377488628281755,1.5999789662856938,-0.8622301034575183,0.9999932609585614,0.97772797286325,0.022265288095311475,0.8625640807470591,0.7949206899540608,0.0676433907929983,0.7362637362637363,0.6978021978021978,0.03846153846153855,1.0,1.0,0.0
rev_util_verifiability,44,qwk,0.8402008407987205,1.966767237861431,-1.1265663970627104,0.7385711019428282,1.779695212873222,-1.0411241109303937,0.9999925676188751,0.9714340106009681,0.028558557017906994,0.867814068139801,0.8698459400923542,-0.002031871952553166,0.7032967032967034,0.7417582417582418,-0.038461538461538436,1.0,1.0,0.0
rw_gen_coherence,42,macro_f1,0.7864832818476291,1.450106763406465,-0.663623481558836,0.6954920193864826,1.3110658750381707,-0.6155738556516881,0.999991984978214,0.9780805874642735,0.021911397513940445,0.856203007518797,0.8560554225111187,0.00014758500767830807,0.8562091503267973,0.8562091503267973,0.0,1.0,1.0,0.0
rw_gen_coherence,43,macro_f1,0.7819071163664777,1.4979639931071702,-0.7160568767406925,0.69144714395855,1.3481630970235245,-0.6567159530649745,0.999989300852761,0.9825578140580877,0.017431486794673323,0.8627216406750695,0.8560554225111187,0.006666218163950854,0.8627450980392157,0.8562091503267973,0.0065359477124183885,1.0,1.0,0.0
rw_gen_coherence,44,macro_f1,0.7873100380665602,1.4422041827252305,-0.6548941446586704,0.6962233832860807,1.3002103182980802,-0.6039869350119995,0.9999916140177325,0.9808719546854601,0.019119659332272443,0.8758169934640522,0.8431305536568696,0.032686439807182555,0.8758169934640523,0.8431372549019608,0.0326797385620915,1.0,1.0,0.0
rw_gen_positioning_check,42,macro_f1,0.7048657009711762,1.5003416572093038,-0.7954759562381276,0.6153552801169114,1.3220106960813627,-0.7066554159644513,0.9999929841604162,0.990767392895064,0.009225591265352162,0.9962000996228564,1.0,-0.003799900377143617,0.9962546816479401,1.0,-0.0037453183520599342,1.0,1.0,0.0
rw_gen_positioning_check,43,macro_f1,0.7228592902398611,1.5469719967348654,-0.8241127064950043,0.631070376385151,1.3644268713233028,-0.7333564949381518,0.9999826830240842,0.9898028378174161,0.010179845206668148,0.9924070071664202,1.0,-0.007592992833579837,0.9925093632958801,1.0,-0.0074906367041198685,1.0,1.0,0.0
rw_gen_positioning_check,44,macro_f1,0.7059225186380338,1.561347089164667,-0.8554245705266332,0.616276076809646,1.3873652278421935,-0.7710891510325475,0.9999959315364021,0.9824832588773248,0.0175126726590773,0.9962000996228564,1.0,-0.003799900377143617,0.9962546816479401,1.0,-0.0037453183520599342,1.0,1.0,0.0
rw_gen_positioning_type,42,macro_f1,0.7556126971577489,1.9970980609143762,-1.2414853637566274,0.6703601333168265,1.7906946735609606,-1.120334540244134,0.9999876810012807,0.9894216967222388,0.010565984279041873,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
rw_gen_positioning_type,43,macro_f1,0.7957174805203654,1.716660377550831,-0.9209428970304655,0.7059586603881736,1.5456169792963474,-0.8396583189081739,0.9999613402901179,0.9853399348829576,0.014621405407160282,1.0,0.9838667707520166,0.01613322924798344,1.0,0.9787234042553191,0.021276595744680882,1.0,0.9893617021276596,0.010638297872340385
rw_gen_positioning_type,44,macro_f1,0.7515041688431141,2.001440650343139,-1.249936481500025,0.6667120349193444,1.8021063674765343,-1.13539433255719,0.9999923573881918,0.9852940871645828,0.014698270223609033,1.0,0.988063492063492,0.011936507936508023,1.0,0.9893617021276596,0.010638297872340385,1.0,1.0,0.0
