task,condition,seeds,runs,primary_metric_name,rationale_nll_mean,rationale_nll_std,completion_nll_mean,completion_nll_std,rationale_loss_share_mean,rationale_loss_share_std,primary_metric_mean,primary_metric_std,accuracy_mean,accuracy_std,format_valid_rate_mean,format_valid_rate_std
rev_util_actionability,Base,,1,qwk,3.3983666438646702,0.0,3.0748741731061395,0.0,0.972287184907721,0.0,0.4742554220319859,0.0,0.4022346368715084,0.0,1.0,0.0
rev_util_actionability,CC,"42,43,44",3,qwk,0.7894286035372325,0.0008016255708486119,0.6944924945617181,0.0007046815017514457,0.9999930447679635,7.832703231622512e-07,0.829149607847393,0.024639036424865462,0.7746741154562384,0.019619466951308645,1.0,0.0
rev_util_actionability,LC,"42,43,44",3,qwk,1.5891331817578396,0.09136215841607288,1.4309342148516169,0.0840523807478744,0.9770481302227023,0.0027785605260395056,0.838160764802598,0.022226656406099915,0.707635009310987,0.03076855054349777,0.9962756052141527,0.0032254204982660943
rev_util_grounding_specificity,Base,,1,qwk,3.6438665008337208,0.0,3.281601727249904,0.0,0.9703717043998525,0.0,0.50984698482202,0.0,0.4339622641509434,0.0,1.0,0.0
rev_util_grounding_specificity,CC,"42,43,44",3,qwk,0.6760957515416056,0.0004690614337077321,0.5908423999420609,0.0004101423222705244,0.9999956062279259,3.859104242588138e-07,0.8910751813365166,0.0011400903712847606,0.8842767295597485,0.00785534339421182,1.0,0.0
rev_util_grounding_specificity,LC,"42,43,44",3,qwk,1.675653987100049,0.02902099817628467,1.4924551900046341,0.029353879193245797,0.9812012747489347,0.0026999562923466004,0.8353627053799316,0.005848889600293162,0.7836477987421384,0.023056984628708622,1.0,0.0
rev_util_helpfulness,Base,,1,qwk,3.5397129237525733,0.0,3.2347083572295947,0.0,0.9748747057653216,0.0,0.5091082271699012,0.0,0.42105263157894735,0.0,1.0,0.0
rev_util_helpfulness,CC,"42,43,44",3,qwk,0.8856134750806676,0.0001391970290837198,0.7889719570932497,0.0001232823394255303,0.9999966386217612,9.624923560395985e-07,0.7580720526573715,0.0197126344173578,0.6403508771929824,0.03311330892662609,1.0,0.0
rev_util_helpfulness,LC,"42,43,44",3,qwk,1.7811476061865934,0.1293950241293553,1.6128031918663213,0.12077446359878635,0.9839699410905788,0.0022601942874734987,0.8299561589726064,0.005482710643720249,0.7105263157894738,0.011604172416949995,0.9970760233918128,0.0025322380227615245
rev_util_verifiability,Base,,1,qwk,3.567655012538959,0.0,3.2418971431125105,0.0,0.96736326584094,0.0,0.7487147250970971,0.0,0.6263736263736264,0.0,1.0,0.0
rev_util_verifiability,CC,"42,43,44",3,qwk,0.8400826969209523,0.0007644620223091579,0.7384670938275703,0.0006722883339492533,0.9999927774651716,4.199309812307969e-07,0.8645543412054045,0.002845918262415511,0.7161172161172162,0.01766236403112263,1.0,0.0
rev_util_verifiability,LC,"42,43,44",3,qwk,1.9242980533035787,0.1288097746148443,1.7352468400566778,0.11941783215704203,0.9748956081371719,0.003193812875977727,0.8264768603888593,0.03883435201100045,0.7142857142857143,0.02394999419527844,1.0,0.0
rw_gen_coherence,Base,,1,macro_f1,3.427158681521882,0.0,3.119211788449737,0.0,0.9716022781438068,0.0,0.655329500221141,0.0,0.6535947712418301,0.0,0.9803921568627451,0.0
rw_gen_coherence,CC,"42,43,44",3,macro_f1,0.7852334787602223,0.0029102227650601173,0.6943875155437045,0.0025725594419753538,0.9999909666162359,1.4544685920110023e-06,0.8649138805526396,0.009989071424600659,0.8649237472766885,0.009983825043476788,1.0,0.0
rw_gen_coherence,LC,"42,43,44",3,macro_f1,1.4634249797462886,0.03017151435233611,1.3198130967865918,0.025144634877243596,0.9805034520692738,0.0022612463657663293,0.8517471328930357,0.007462176512241292,0.8518518518518517,0.0075470623423480225,1.0,0.0
rw_gen_positioning_check,Base,,1,macro_f1,3.19253402243889,0.0,2.893138281183955,0.0,0.963347220661039,0.0,0.8961345110625125,0.0,0.8913857677902621,0.0,0.9887640449438202,0.0
rw_gen_positioning_check,CC,"42,43,44",3,macro_f1,0.7112158366163571,0.010097362284639628,0.6209005777705695,0.008819329313116468,0.9999905329069675,6.956094612742394e-06,0.9949357354707109,0.0021899429507845907,0.9950062421972534,0.0021623605587626485,1.0,0.0
rw_gen_positioning_check,LC,"42,43,44",3,macro_f1,1.5362202477029454,0.03189225238908594,1.3579342650822863,0.033157490213676095,0.9876844965299348,0.004530148613859298,1.0,0.0,1.0,0.0,1.0,0.0
rw_gen_positioning_type,Base,,1,macro_f1,3.3663583586936774,0.0,3.081174346903222,0.0,0.9692764344918419,0.0,0.6150514981273408,0.0,0.6063829787234043,0.0,0.9680851063829787,0.0
rw_gen_positioning_type,CC,"42,43,44",3,macro_f1,0.7676114488404094,0.024427070307837848,0.6810102762081148,0.0216827941090691,0.9999804595598635,1.6722051469217513e-05,1.0,0.0,1.0,0.0,1.0,0.0
rw_gen_positioning_type,LC,"42,43,44",3,macro_f1,1.9050663629361153,0.16317881608066265,1.7128060067779476,0.1449023287327988,0.9866852395899265,0.0023699522634554548,0.9906434209385028,0.008370322349950639,0.9893617021276596,0.010638297872340441,0.9964539007092199,0.006142024140315144
